日期,名稱,開盤價,高點,低點,收盤價,成交量
1999/09/18,A,30.4,30.7,30,30,7868
1999/09/18,B,92,92,91,91,2463
1999/09/18,C,54,54,53.5,53.5,9667
1999/09/20,A,30,30.6,30,30.3,8789
1999/09/20,B,91,91.5,90,90.5,1817
1999/09/20,C,53.5,54,53,53,6762
1999/09/27,A,29.3,29.3,29.3,29.3,370
1999/09/27,B,87.5,87.5,87.5,87.5,655
1999/09/27,C,51.5,51.5,51.5,51.5,512
1999/09/28,A,28.3,28.3,28.3,28.3,231
1999/09/28,B,84.5,84.5,84.5,84.5,450
1999/09/28,C,49.7,49.7,49.7,49.7,616
1999/09/29,A,27.4,28.3,27.4,28.3,30965
1999/09/29,B,82,82,82,82,5273
1999/09/29,C,48,49.7,48,49.7,38441
1999/09/30,A,27.9,28,27.4,27.4,27493
1999/09/30,B,82,83.5,82,82,19104
1999/09/30,C,49.2,49.5,48,48.2,27047
1999/10/01,A,27.7,28,27.3,27.3,26599
1999/10/01,B,82,83.5,82,83.5,7776
1999/10/01,C,48,49.6,48,48.8,53175
1999/10/02,A,27.4,27.8,26.4,26.5,23024
1999/10/02,B,83.5,84,82,82.5,5986
1999/10/02,C,48.9,49.5,48.4,48.6,25148
1999/10/04,A,26.5,26.5,25.6,25.9,17306
1999/10/04,B,82,83,82,82.5,4754
1999/10/04,C,48.6,48.9,48,48.3,14218
1999/10/05,A,25.9,26.3,25,25,17161
1999/10/05,B,82.5,83.5,82,82,5369
1999/10/05,C,48.5,48.7,47,47.1,22027
1999/10/06,A,24.6,24.9,24.2,24.2,16771
1999/10/06,B,82,82,80,81,6755
1999/10/06,C,46.7,47,45.6,45.7,17438
1999/10/07,A,24.5,25.8,24.5,25.8,33971
1999/10/07,B,81,83,81,82.5,5126
1999/10/07,C,46,47.7,46,46.8,20073
1999/10/08,A,25.8,26,25.1,25.4,22570
1999/10/08,B,82,82.5,80.5,80.5,5717
1999/10/08,C,47,47.2,46.4,46.5,12591
1999/10/11,A,25.7,26.4,25.7,25.9,16133
1999/10/11,B,80.5,81,80,80,4731
1999/10/11,C,46.5,47.2,46,46.3,13633
1999/10/12,A,26.3,27.2,26.1,26.8,22999
1999/10/12,B,80.5,82.5,80.5,82.5,5469
1999/10/12,C,46.6,48,46.6,47.9,19278
1999/10/13,A,26.8,27.5,26.5,27.5,20562
1999/10/13,B,82.5,83,82,82.5,4044
1999/10/13,C,48,48.5,47.5,47.6,15988
1999/10/14,A,27.3,28.2,27.1,27.6,22355
1999/10/14,B,82.5,83.5,82,83.5,6143
1999/10/14,C,46.5,47.8,46.5,47.1,18479
1999/10/15,A,27.7,28.4,27.6,27.6,17900
1999/10/15,B,83.5,84,82.5,82.5,4496
1999/10/15,C,46.6,47,46.5,46.6,16369
1999/10/16,A,27,29.2,27,28.7,44068
1999/10/16,B,82,83.5,81.5,82.5,4142
1999/10/16,C,46,47.4,46,46.8,14884
1999/10/18,A,27.8,28,27.3,27.5,15351
1999/10/18,B,82,82,81,81.5,3275
1999/10/18,C,46.3,46.5,46,46.2,9270
1999/10/19,A,27.2,27.8,27,27,8161
1999/10/19,B,81.5,81.5,80.5,80.5,3537
1999/10/19,C,46.4,46.6,46.2,46.3,8413
1999/10/20,A,27.2,27.9,27.1,27.2,14264
1999/10/20,B,80.5,81.5,80.5,81.5,5381
1999/10/20,C,46.4,46.9,46.3,46.4,8872
1999/10/21,A,28.5,28.5,27.6,27.6,27751
1999/10/21,B,82,82,80,80.5,7740
1999/10/21,C,47,47.1,46.4,46.4,7656
1999/10/22,A,27.7,27.9,27,27.5,14096
1999/10/22,B,80.5,81,80,80,4320
1999/10/22,C,46.5,46.7,46,46,8789
1999/10/25,A,27.8,29,27.7,28.4,36875
1999/10/25,B,80,82,80,81.5,5570
1999/10/25,C,46,47.2,46,46.5,12533
1999/10/26,A,28.4,29.8,28.3,29.3,52977
1999/10/26,B,81.5,82.5,81,81.5,5656
1999/10/26,C,47,47.6,46.6,46.8,14453
1999/10/27,A,29.4,30,29,29.6,43292
1999/10/27,B,81.5,82,81,81,2204
1999/10/27,C,47,47.2,46.6,46.8,6784
1999/10/28,A,29.5,29.6,29,29,18192
1999/10/28,B,81.5,81.5,80,80.5,4707
1999/10/28,C,46.8,48,46.8,47.2,18214
1999/10/29,A,29.5,29.6,28.5,29.1,20513
1999/10/29,B,81,82,80.5,82,6547
1999/10/29,C,48,48,47,47.1,11537
1999/10/30,A,29.3,29.5,28.8,29.3,20413
1999/10/30,B,82.5,83,81.5,82.5,5872
1999/10/30,C,47.5,48.4,47.3,48.4,21661
1999/11/01,A,29.5,29.6,29,29,13510
1999/11/01,B,82.5,83,81.5,81.5,4200
1999/11/01,C,48.6,48.6,47.8,47.8,11213
1999/11/02,A,28.8,29,27.8,27.8,15758
1999/11/02,B,81.5,82,80.5,80.5,3874
1999/11/02,C,47.5,47.5,47,47.1,8956
1999/11/03,A,27.8,28.3,27.3,27.3,22941
1999/11/03,B,80.5,81,80.5,80.5,2954
1999/11/03,C,47,47.3,46.5,46.5,8429
1999/11/04,A,27.3,27.5,26.3,26.6,18292
1999/11/04,B,80.5,81,80,80,6227
1999/11/04,C,46.5,47,46.1,46.1,8771
1999/11/05,A,26.6,27.5,26.2,27.4,11047
1999/11/05,B,80,80.5,80,80.5,5073
1999/11/05,C,46.1,46.5,46,46.3,7838
1999/11/06,A,27.4,27.5,26,26.4,19019
1999/11/06,B,81,81,80,80,3312
1999/11/06,C,46.5,46.6,45.6,45.6,10446
1999/11/08,A,25.9,27.1,25.9,26.7,13761
1999/11/08,B,80,80,78,79,6027
1999/11/08,C,45.5,45.7,45,45.3,9331
1999/11/09,A,26.9,26.9,26.2,26.5,5637
1999/11/09,B,79,79,78,78,4000
1999/11/09,C,45.3,45.5,45,45,7004
1999/11/10,A,26.5,27.9,26.5,26.9,27464
1999/11/10,B,78,80.5,77.5,79,5736
1999/11/10,C,45,47,45,45.6,13435
1999/11/11,A,27,27.2,26.5,26.7,12861
1999/11/11,B,79,80,78.5,79,3352
1999/11/11,C,46.4,46.4,45.6,45.8,6494
1999/11/15,A,27.3,27.3,26.2,26.2,9785
1999/11/15,B,79.5,79.5,77,77,5764
1999/11/15,C,46,46,45.3,45.4,6559
1999/11/16,A,26.3,26.6,26.1,26.6,11632
1999/11/16,B,77,78,75.5,76,8947
1999/11/16,C,45.3,45.9,45,45.3,11560
1999/11/17,A,27,27.4,26.8,26.8,15250
1999/11/17,B,76.5,77,76,76.5,5113
1999/11/17,C,45.5,46,45,45.1,12406
1999/11/18,A,27,27.7,26.9,27.4,20933
1999/11/18,B,75.5,76,75,75,7597
1999/11/18,C,45,45.9,44.5,44.8,29306
1999/11/19,A,27.9,28.5,27.9,28,30053
1999/11/19,B,75,76.5,75,76,7421
1999/11/19,C,45,46.2,45,45.6,36148
1999/11/20,A,28.8,29.1,28.2,28.4,27713
1999/11/20,B,77,77.5,77,77.5,6765
1999/11/20,C,46.3,46.9,45.6,45.6,29094
1999/11/22,A,28.8,29.4,28.4,29.1,37735
1999/11/22,B,78,80,77.5,80,9160
1999/11/22,C,46,47.6,45.7,47.4,50602
1999/11/23,A,29.5,29.8,28.5,28.7,27901
1999/11/23,B,81.5,82,80,80,7841
1999/11/23,C,48,48.3,46.5,46.7,36967
1999/11/24,A,28.2,28.7,27.2,27.2,16725
1999/11/24,B,79.5,80,78,78,5011
1999/11/24,C,46.4,46.7,45.6,45.6,22030
1999/11/25,A,27.2,27.8,26.8,27.8,19613
1999/11/25,B,78,78.5,77,77,4543
1999/11/25,C,45.6,45.8,45,45.4,17861
1999/11/26,A,27.8,29,27,27.2,51816
1999/11/26,B,77,78,75.5,76,7400
1999/11/26,C,45.4,46.4,44.3,44.4,34133
1999/11/29,A,28,29.1,27.6,29.1,47380
1999/11/29,B,76,79.5,76,78.5,8669
1999/11/29,C,45.4,46.8,45,46.1,39360
1999/11/30,A,31,31.1,29.8,29.9,156543
1999/11/30,B,78.5,79.5,77,77,5494
1999/11/30,C,46.6,47.3,45.7,45.8,35206
1999/12/01,A,29.9,30,29,29.7,45330
1999/12/01,B,78,78,77,77.5,2825
1999/12/01,C,46,46.2,45.2,45.2,14775
1999/12/02,A,29.9,30.4,29.5,30.2,42647
1999/12/02,B,78,78,77,77.5,3607
1999/12/02,C,45.6,45.9,45.2,45.3,12649
1999/12/03,A,30.7,32.3,30.5,31,177251
1999/12/03,B,78,81,77.5,80,12659
1999/12/03,C,45.5,46.5,45.5,45.7,19410
1999/12/04,A,31.6,33.1,31.2,33.1,160129
1999/12/04,B,81,81,78.5,78.5,5960
1999/12/04,C,46.5,46.9,46,46.1,35610
1999/12/06,A,33.3,33.3,31.4,31.9,70504
1999/12/06,B,78,78.5,76.5,77,8084
1999/12/06,C,46.5,46.8,45.2,45.5,18402
1999/12/07,A,32,32.9,31.5,31.6,70410
1999/12/07,B,76.5,77,75.5,75.5,7795
1999/12/07,C,45.9,45.9,45.1,45.2,15023
1999/12/08,A,32.2,33.1,31.9,32.5,80118
1999/12/08,B,75.5,76,74.5,74.5,10595
1999/12/08,C,45.7,46,45,45,20593
1999/12/09,A,32.2,32.5,30.5,30.7,57012
1999/12/09,B,74,75.5,73,74.5,9552
1999/12/09,C,44.6,45,44.5,44.6,22875
1999/12/10,A,31,31.5,30.5,30.8,44279
1999/12/10,B,75,76,74,76,5002
1999/12/10,C,44.8,45,44.6,44.6,11373
1999/12/13,A,31.2,31.9,31,31.5,35218
1999/12/13,B,76.5,77,75,75,4254
1999/12/13,C,45,45.6,44.8,44.8,20219
1999/12/14,A,32.7,33.7,32.1,33.7,129720
1999/12/14,B,75,76,74.5,74.5,4325
1999/12/14,C,45,45.7,44.8,44.9,28957
1999/12/15,A,34.3,35.8,34.3,34.8,138244
1999/12/15,B,74.5,75,73.5,73.5,4005
1999/12/15,C,44.9,45.2,44.2,44.2,23826
1999/12/16,A,34.8,34.8,32.4,32.4,68429
1999/12/16,B,73,73.5,72,72,7642
1999/12/16,C,44.1,44.3,42.6,42.6,33477
1999/12/17,A,32.8,33.4,32,32.9,46983
1999/12/17,B,72,72.5,71,71,5334
1999/12/17,C,42.5,42.5,41.2,41.7,24063
1999/12/18,A,32.7,33.5,32.7,32.9,43508
1999/12/18,B,71.5,73.5,71.5,73,7182
1999/12/18,C,41.5,42.5,41.5,41.9,18627
1999/12/20,A,33.4,33.4,32.5,32.8,23859
1999/12/20,B,73,73,71,71.5,3180
1999/12/20,C,42.3,42.7,42,42.7,15460
1999/12/21,A,33,34.6,33,34.4,61171
1999/12/21,B,71.5,73,71,73,6701
1999/12/21,C,43,45.6,43,45.6,38217
1999/12/22,A,35.2,35.2,33.1,33.2,41369
1999/12/22,B,73,73.5,71.5,72,4341
1999/12/22,C,46.6,46.7,45.2,45.3,45570
1999/12/23,A,33.5,34.7,33.5,33.8,61368
1999/12/23,B,72,74,71.5,73,9404
1999/12/23,C,46,47.5,45.7,46.5,57239
1999/12/24,A,34.1,34.7,33.8,34,52987
1999/12/24,B,73,73.5,72,72,5117
1999/12/24,C,47.4,48.2,46.5,48,65574
1999/12/27,A,34.4,35.3,34.2,35.2,72682
1999/12/27,B,72.5,73,72,73,8037
1999/12/27,C,48.2,48.8,47.5,48.2,53778
1999/12/28,A,35.7,37.2,35.7,36.5,93986
1999/12/28,B,73,76.5,73,75.5,24493
1999/12/28,C,48.8,51,48.8,50,65424
